station,yaw,pitch,granted,in_frustum_expected,culled_visible,missing_box,missing_centre,s0,s1,s2,s3,s4,s5
corridor F04,60,20,57,33,80,0,0,0.156,0.027,0.278,0.041,0.018,0.011
corridor F04,90,20,57,30,66,1,0,0.020,0.066,0.010,0.022,0.061,0.010
corridor F04,120,20,57,23,37,0,0,0.009,0.061,0.097,0.010,0.052,0.062
corridor F04,150,20,57,29,47,0,0,0.004,0.010,0.196,0.000,0.004,0.030
corridor F04,180,20,57,23,43,0,0,0.010,0.004,0.020,0.010,0.000,0.007
corridor F04,210,20,57,12,31,0,0,0.210,0.078,0.007,0.149,0.077,0.002
corridor F04,240,20,57,12,28,0,0,0.210,0.182,0.021,0.151,0.143,0.043
corridor F04,270,20,57,17,25,0,0,0.181,0.238,0.180,0.139,0.152,0.138
corridor F04,300,20,57,23,44,0,0,0.373,0.033,0.011,0.048,0.011,0.011
corridor F04,330,20,57,29,51,0,0,0.218,0.189,0.011,0.080,0.048,0.010
apartment 4B,0,-20,57,16,36,1,0,0.279,0.282,0.220,0.132,0.180,0.244
apartment 4B,30,-20,57,13,32,0,0,0.155,0.271,0.310,0.110,0.151,0.220
apartment 4B,60,-20,57,10,26,0,0,0.193,0.192,0.253,0.074,0.135,0.136
apartment 4B,90,-20,57,12,24,0,0,0.175,0.158,0.211,0.095,0.100,0.126
apartment 4B,120,-20,57,21,37,0,0,0.162,0.153,0.159,0.127,0.084,0.109
apartment 4B,150,-20,57,37,83,0,0,0.079,0.076,0.134,0.094,0.038,0.043
apartment 4B,180,-20,57,47,106,0,0,0.115,0.080,0.091,0.113,0.071,0.023
apartment 4B,210,-20,57,52,127,0,0,0.069,0.113,0.071,0.033,0.098,0.061
apartment 4B,240,-20,57,50,129,0,0,0.141,0.089,0.101,0.188,0.068,0.083
apartment 4B,270,-20,57,37,90,0,0,0.207,0.102,0.117,0.161,0.104,0.105
apartment 4B,300,-20,57,34,77,0,0,0.172,0.201,0.050,0.099,0.173,0.046
apartment 4B,330,-20,57,24,46,0,0,0.205,0.202,0.226,0.112,0.170,0.185
apartment 4B,0,0,57,12,30,0,0,0.419,0.320,0.235,0.111,0.187,0.207
apartment 4B,30,0,57,9,23,0,0,0.409,0.410,0.303,0.082,0.118,0.254
apartment 4B,60,0,57,10,21,0,0,0.300,0.471,0.404,0.100,0.116,0.103
apartment 4B,90,0,57,12,22,0,0,0.090,0.340,0.493,0.136,0.089,0.124
apartment 4B,120,0,57,16,30,0,0,0.065,0.202,0.287,0.170,0.117,0.081
apartment 4B,150,0,57,34,72,0,0,0.108,0.032,0.236,0.146,0.081,0.080
apartment 4B,180,0,57,46,104,0,0,0.137,0.090,0.026,0.128,0.108,0.079
apartment 4B,210,0,57,52,120,0,0,0.064,0.135,0.052,0.058,0.119,0.122
apartment 4B,240,0,57,49,133,0,0,0.154,0.096,0.115,0.149,0.079,0.153
apartment 4B,270,0,57,36,83,0,0,0.206,0.103,0.132,0.197,0.098,0.110
apartment 4B,300,0,57,33,78,0,0,0.214,0.205,0.053,0.160,0.194,0.051
apartment 4B,330,0,57,24,41,1,0,0.345,0.218,0.206,0.094,0.211,0.199
apartment 4B,0,20,57,17,33,1,0,0.490,0.251,0.306,0.282,0.292,0.220
apartment 4B,30,20,57,12,31,0,0,0.458,0.301,0.297,0.163,0.277,0.301
apartment 4B,60,20,57,10,20,0,0,0.341,0.417,0.280,0.195,0.209,0.269
apartment 4B,90,20,57,12,22,0,0,0.118,0.362,0.475,0.168,0.173,0.240
apartment 4B,120,20,57,13,27,0,0,0.154,0.281,0.479,0.166,0.164,0.153
apartment 4B,150,20,57,36,63,0,0,0.186,0.136,0.292,0.083,0.084,0.134
apartment 4B,180,20,57,46,95,0,0,0.152,0.158,0.087,0.120,0.090,0.104
apartment 4B,210,20,57,52,121,0,0,0.036,0.171,0.089,0.068,0.118,0.081
apartment 4B,240,20,57,44,106,0,0,0.202,0.091,0.181,0.141,0.087,0.105
apartment 4B,270,20,57,35,69,0,0,0.191,0.116,0.152,0.206,0.102,0.115
apartment 4B,300,20,57,33,69,0,0,0.245,0.218,0.052,0.179,0.200,0.050
apartment 4B,330,20,57,23,41,0,0,0.276,0.225,0.198,0.245,0.197,0.225
roof,0,-20,32,10,86,0,0,0.029,0.053,0.062,0.021,0.023,0.025
roof,30,-20,32,10,63,0,0,0.027,0.038,0.054,0.009,0.021,0.030
roof,60,-20,32,7,40,0,0,0.032,0.029,0.045,0.028,0.013,0.022
roof,90,-20,32,2,11,0,0,0.042,0.029,0.033,0.045,0.040,0.041
roof,120,-20,32,14,22,0,0,0.022,0.040,0.030,0.026,0.059,0.022
roof,150,-20,32,20,38,0,0,0.042,0.031,0.038,0.012,0.028,0.025
roof,180,-20,32,22,47,0,0,0.033,0.034,0.033,0.031,0.011,0.035
roof,210,-20,32,23,52,0,0,0.044,0.035,0.031,0.030,0.018,0.021
roof,240,-20,32,25,67,0,0,0.032,0.043,0.035,0.010,0.027,0.012
roof,270,-20,32,17,64,0,0,0.032,0.036,0.041,0.026,0.015,0.030
roof,300,-20,32,13,63,0,0,0.070,0.030,0.037,0.025,0.014,0.034
roof,330,-20,32,13,91,0,0,0.054,0.058,0.024,0.023,0.024,0.008
roof,0,0,32,7,45,0,0,0.055,0.072,0.068,0.022,0.039,0.055
roof,30,0,32,7,34,0,0,0.043,0.064,0.056,0.019,0.034,0.047
roof,60,0,32,2,15,0,0,0.045,0.054,0.052,0.033,0.024,0.038
roof,90,0,32,2,10,0,0,0.061,0.048,0.052,0.039,0.029,0.024
roof,120,0,32,1,7,0,0,0.061,0.060,0.043,0.018,0.045,0.011
roof,150,0,32,7,13,0,0,0.077,0.069,0.050,0.015,0.025,0.047
roof,180,0,32,17,37,0,0,0.077,0.086,0.060,0.030,0.017,0.035
