seconds,multiplier,range_m,mean_luma
11.75,0.89688055481573,8.24956703186035,0.25907123711787
12.0,0.88462758641362,8.21980953216553,0.25227799507906
12.25,0.87208027309276,8.18933773040771,0.24269595949924
12.5,0.8592925163951,8.15828227996826,0.23532575632198
12.75,0.84631692197623,8.12677001953125,0.22818072999168
13.0,0.83320497231253,8.09492683410645,0.21907333835003
13.25,0.8200071723017,8.06287479400635,0.21221044186107
13.5,0.8067731737372,8.03073501586914,0.2055907890537
13.75,0.79355188313046,7.99862623214722,0.1968914454995
14.0,0.7803915562909,7.96666526794434,0.19050737706775
14.25,0.76733988230975,7.9349684715271,0.18393560290435
14.5,0.75444405903585,7.90364980697632,0.17568898827084
14.75,0.74175086172099,7.87282371520996,0.1693047233579
15.0,0.72930670620602,7.84260177612305,0.16293916727329
15.25,0.71715770779043,7.81309747695923,0.15670278611391
15.5,0.70534973675785,7.78442096710205,0.1503875460125
15.75,0.69392847140351,7.75668334960938,0.14406115146841
16.0,0.68293944931968,7.72999572753906,0.13755602070052
16.25,0.67242811763277,7.70446825027466,0.13123016963131
16.5,0.6624398828491,7.68021106719971,0.12692267506639
16.75,0.65302016095058,7.65733480453491,0.1227841985949
17.0,0.64421442838752,7.63594913482666,0.11698776723914
17.25,0.63606827464174,7.61616563796997,0.1132019977788
17.5,0.62862745708177,7.59809541702271,0.1093259287235
17.75,0.62193795890499,7.58184909820557,0.10749441449808
18.0,0.61604605106335,7.56754064559937,0.10384017149882
18.25,0.61099835920618,7.55528163909912,0.10203997261124
18.5,0.60684193685395,7.54518747329712,0.1004969184321
18.75,0.60362434625227,7.53737354278564,0.09890873760049
19.0,0.6013937486631,7.5319561958313,0.09726700281088
19.25,0.60019900625261,7.52905464172363,0.09726811935026
19.5,0.60021831565866,7.52910184860229,0.09723021085243
19.75,0.60261094864973,7.534912109375,0.09882695650356
20.0,0.60748911624114,7.54675912857056,0.10042843394849
20.25,0.61466556674571,7.56418800354004,0.10374441035848
20.5,0.62395661891936,7.58675193786621,0.10735269880335
20.75,0.63518133463925,7.61401176452637,0.11287518401266
21.0,0.64816081537425,7.64553356170654,0.11877698438188
21.25,0.66271758760193,7.68088579177856,0.12701524724135
21.5,0.67867505065906,7.71963930130005,0.13529893875499
21.75,0.69585696593035,7.76136684417725,0.14389241098607
22.0,0.71408696965068,7.80563974380493,0.15449259935235
22.25,0.73318809341829,7.85202836990356,0.16496682802067
22.5,0.75298227703816,7.9000997543335,0.17587500537373
22.75,0.77328985758561,7.94941806793213,0.18649852233094
23.0,0.79392901646036,7.99954175949097,0.19729757297697
23.25,0.81471516231536,8.05002212524414,0.21049687986023
23.5,0.8354602213767,8.10040378570557,0.22192161208655
23.75,0.85597179653791,8.15021705627441,0.23392267476707
24.0,0.8760521404209,8.19898414611816,0.24623424259012
24.25,0.89549686112968,8.24620628356934,0.25819009611374
24.5,0.91409323457462,8.29136943817139,0.26824706391736
24.75,0.93161791750245,8.33392906188965,0.27655299626761
25.0,0.94783370455318,8.37331008911133,0.28148020525284
25.25,0.9624846638862,8.40889167785645,0.28466741804818
25.5,0.97528828389011,8.43998622894287,0.28824018500638
25.75,0.98592141754342,8.4658088684082,0.2898977094489
26.0,0.9939907606814,8.48540592193604,0.2911457009102
26.25,0.99894892704733,8.49744701385498,0.29239140754242
26.5,0.9997737512436,8.49945068359375,0.29248764394081
26.75,0.99787232891618,8.49483299255371,0.29195418946302
27.0,0.99446450579974,8.48655700683594,0.29184873189944
27.25,0.98978487438559,8.47519207000732,0.29055853863171
27.5,0.98398591167404,8.46110820770264,0.28965467424652
27.75,0.97718613378955,8.44459533691406,0.28806626884645
28.0,0.96948521264736,8.42589282989502,0.28605604824453
28.25,0.96097079448101,8.4052152633667,0.28419681072461
28.5,0.95172217335911,8.3827543258667,0.28213652474085
28.75,0.9418125017235,8.35868740081787,0.27825830413265
29.0,0.93131022653905,8.3331823348999,0.2741077974089
29.25,0.92028007677952,8.30639457702637,0.27094187910394
29.5,0.90878377289812,8.27847480773926,0.26542241510051
29.75,0.89688055481573,8.24956703186035,0.25930676692534
30.0,0.88462758641362,8.21980953216553,0.25262197804785
30.25,0.87208027309276,8.18933773040771,0.24311215376075
30.5,0.8592925163951,8.15828227996826,0.23583871647251
30.75,0.84631692197623,8.12677001953125,0.22835359636362
31.0,0.83320497231253,8.09492683410645,0.21914071736005
31.25,0.8200071723017,8.06287479400635,0.21204890477302
31.5,0.8067731737372,8.03073501586914,0.2055816061126
31.75,0.79355188313046,7.99862623214722,0.19674751718867
32.0,0.7803915562909,7.96666526794434,0.19011431883882
32.25,0.76733988230975,7.9349684715271,0.18374198102527
32.5,0.75444405903585,7.90364980697632,0.17540823514644
32.75,0.74175086172099,7.87282371520996,0.16903077701853
33.0,0.72930670620602,7.84260177612305,0.16269788021326
33.25,0.71715770779043,7.81309747695923,0.15628452071165
33.5,0.70534973675785,7.78442096710205,0.1498967739524
33.75,0.69392847140351,7.75668334960938,0.14350659266239
34.0,0.68293944931968,7.72999572753906,0.13723566264754
34.25,0.67242811763277,7.70446825027466,0.13076745585098
34.5,0.6624398828491,7.68021106719971,0.12652450512013
34.75,0.65302016095058,7.65733480453491,0.12244904342055
35.0,0.64421442838752,7.63594913482666,0.11639123141295
35.25,0.63606827464174,7.61616563796997,0.11245535158943
35.5,0.62862745708177,7.59809541702271,0.10869948544201
35.75,0.62193795890499,7.58184909820557,0.10676308701829
36.0,0.61604605106335,7.56754064559937,0.103089221171
36.25,0.61099835920618,7.55528163909912,0.10144633311433
36.5,0.60684193685395,7.54518747329712,0.09976397199535
36.75,0.60362434625227,7.53737354278564,0.09799909314244
37.0,0.6013937486631,7.5319561958313,0.09649062631365
37.25,0.60019900625261,7.52905464172363,0.09646335780934
37.5,0.60021831565866,7.52910184860229,0.09645179734413
37.75,0.60261094864973,7.534912109375,0.09796749044928
38.0,0.60748911624114,7.54675912857056,0.09958258172925
38.25,0.61466556674571,7.56418800354004,0.10290278056384
38.5,0.62395661891936,7.58675193786621,0.10655631143161
38.75,0.63518133463925,7.61401176452637,0.11208989954984
39.0,0.64816081537425,7.64553356170654,0.11802250056167
39.25,0.66271758760193,7.68088579177856,0.12625394012856
39.5,0.67867505065906,7.71963930130005,0.13477602755386
39.75,0.69585696593035,7.76136684417725,0.14329297069433
40.0,0.71408696965068,7.80563974380493,0.15388436814942
40.25,0.73318809341829,7.85202836990356,0.1644709046072
40.5,0.75298227703816,7.9000997543335,0.17486168411638
40.75,0.77328985758561,7.94941806793213,0.18545729824908
41.0,0.79392901646036,7.99954175949097,0.19645334246462
41.25,0.81471516231536,8.05002212524414,0.20966070078235
41.5,0.8354602213767,8.10040378570557,0.22116763196012
41.75,0.85597179653791,8.15021705627441,0.23306261218785
42.0,0.8760521404209,8.19898414611816,0.24541515757687
42.25,0.89549686112968,8.24620628356934,0.25740371955332
42.5,0.91409323457462,8.29136943817139,0.26756977909342
42.75,0.93161791750245,8.33392906188965,0.27587285879771
43.0,0.94783370455318,8.37331008911133,0.28113463625564
43.25,0.9624846638862,8.40889167785645,0.28452229833381
43.5,0.97528828389011,8.43998622894287,0.28839614503599
43.75,0.98592141754342,8.4658088684082,0.29001804310769
44.0,0.9939907606814,8.48540592193604,0.29171462117812
44.25,0.99894892704733,8.49744701385498,0.29309256364465
44.5,0.9997737512436,8.49945068359375,0.29306391849023
44.75,0.99787232891618,8.49483299255371,0.29250093510043
45.0,0.99446450579974,8.48655700683594,0.2926122980911
45.25,0.98978487438559,8.47519207000732,0.29128813159102
45.5,0.98398591167404,8.46110820770264,0.29051557853525
45.75,0.97718613378955,8.44459533691406,0.28875739504786
46.0,0.96948521264736,8.42589282989502,0.2870974522679
46.25,0.96097079448101,8.4052152633667,0.28509333586847
46.5,0.95172217335911,8.3827543258667,0.28316171001193
46.75,0.9418125017235,8.35868740081787,0.27968398096814
47.0,0.93131022653905,8.3331823348999,0.27548213567794
47.25,0.92028007677952,8.30639457702637,0.27194539224444
47.5,0.90878377289812,8.27847480773926,0.26646184462134
47.75,0.89688055481573,8.24956703186035,0.26022647692387
48.0,0.88462758641362,8.21980953216553,0.25335544901678
48.25,0.87208027309276,8.18933773040771,0.2436478578231
48.5,0.8592925163951,8.15828227996826,0.23628965062568
48.75,0.84631692197623,8.12677001953125,0.22895593304096
49.0,0.83320497231253,8.09492683410645,0.21930554177957
49.25,0.8200071723017,8.06287479400635,0.21228856456417
49.5,0.8067731737372,8.03073501586914,0.20570629314491
49.75,0.79355188313046,7.99862623214722,0.19678077712011
50.0,0.7803915562909,7.96666526794434,0.19010648667676
50.25,0.76733988230975,7.9349684715271,0.18345855922631
50.5,0.75444405903585,7.90364980697632,0.17510495884448
50.75,0.74175086172099,7.87282371520996,0.16872735773119
51.0,0.72930670620602,7.84260177612305,0.16236581046767
51.25,0.71715770779043,7.81309747695923,0.15588912304233
51.5,0.70534973675785,7.78442096710205,0.1498380893483
51.75,0.69392847140351,7.75668334960938,0.14331017123544
52.0,0.68293944931968,7.72999572753906,0.13685331109942
52.25,0.67242811763277,7.70446825027466,0.13034470943728
52.5,0.6624398828491,7.68021106719971,0.12604640464382
52.75,0.65302016095058,7.65733480453491,0.12183938655663
53.0,0.64421442838752,7.63594913482666,0.11576216548114
53.25,0.63606827464174,7.61616563796997,0.11184955089492
53.5,0.62862745708177,7.59809541702271,0.10806647210209
53.75,0.59178659171749,7.50862455368042,0.09288765793599
54.0,0.58,7.48000001907349,0.08850861520121
54.25,0.58,7.48000001907349,0.0884941054023
54.5,0.58,7.48000001907349,0.08846496868048
54.75,0.58,7.48000001907349,0.08842413807255
55.0,0.6013937486631,7.5319561958313,0.09600635753757
55.25,0.60019900625261,7.52905464172363,0.0959630609601
55.5,0.60021831565866,7.52910184860229,0.09589034171946
55.75,0.60261094864973,7.534912109375,0.09758991689464
56.0,0.60748911624114,7.54675912857056,0.09915206419054
56.25,0.61466556674571,7.56418800354004,0.10258820259354
56.5,0.62395661891936,7.58675193786621,0.10617898973819
56.75,0.63518133463925,7.61401176452637,0.11206055309778
57.0,0.64816081537425,7.64553356170654,0.11789614427552
57.25,0.66271758760193,7.68088579177856,0.12628217397317
57.5,0.67867505065906,7.71963930130005,0.13499984976103
57.75,0.69585696593035,7.76136684417725,0.14369592556193
58.0,0.71408696965068,7.80563974380493,0.15453484879049
58.25,0.73318809341829,7.85202836990356,0.1651988362456
58.5,0.75298227703816,7.9000997543335,0.17557987721609
58.75,0.77328985758561,7.94941806793213,0.18623610286168
59.0,0.79392901646036,7.99954175949097,0.19723836151687
59.25,0.81471516231536,8.05002212524414,0.20997512485523
59.5,0.8354602213767,8.10040378570557,0.22136542886612
59.75,0.8559717965379,8.15021705627441,0.23368075757302
60.0,0.8760521404209,8.19898414611816,0.24636848144998
60.25,0.89549686112968,8.24620628356934,0.25814241377597
60.5,0.91409323457462,8.29136943817139,0.26885264404607
60.75,0.93161791750245,8.33392906188965,0.27735921506187
61.0,0.94783370455318,8.37331008911133,0.28258165825867
61.25,0.9624846638862,8.40889167785645,0.28580638332718
61.5,0.97528828389011,8.43998622894287,0.28974391320159
61.75,0.98592141754342,8.4658088684082,0.29125632186283
62.0,0.9939907606814,8.48540592193604,0.29316521064994
62.25,0.99894892704733,8.49744701385498,0.29463603166455
62.5,0.9997737512436,8.49945068359375,0.29473666484863
62.75,0.99787232891618,8.49483299255371,0.29413735529472
